id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
ghoul,5.5e,SRD,Ghoul,,"_Medium Undead, Chaotic Evil_
**AC** 12 **Initiative** +2 (12) 
**HP** 22 (5d8) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 13 
 +1 
 +1 
 DEX 
 15 
 +2 
 +2 
 CON 
 10 
 +0 
 +0 
 
 
 INT 
 7 
 −2 
 −2 
 WIS 
 10 
 +0 
 +0 
 CHA 
 6 
 −2 
 −2 
 
 
 
**Immunities** Poison; Charmed, Exhaustion, Poisoned 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** Common 
**CR** 1 (XP 200; PB +2)
#### Actions
 
**_Multiattack._** The ghoul makes two Bite attacks.
**_Bite._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Piercing damage plus 3 (1d6) Necrotic damage.
**_Claw._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 4 (1d4 + 2) Slashing damage. If the target is a creature that isn't an Undead or elf, it is subjected to the following effect. _Constitution Saving Throw:_ DC 10. _Failure:_ The target has the Paralyzed condition until the end of its next turn.
## Gibbering Mouther
### Gibbering Mouther",,,medium,undead,Chaotic Evil,12,22,5d8,30 ft.,13,15,10,7,10,6,1,Darkvision 60 ft.; Passive Perception 10,Common,
gibbering-mouther,5.5e,SRD,Gibbering Mouther,,"_Medium Aberration, Chaotic Neutral_
**AC** 9 **Initiative** −1 (9) 
**HP** 52 (7d8 + 21) 
**Speed** 20 ft., Swim 20 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 10 
 +0 
 +0 
 DEX 
 8 
 −1 
 −1 
 CON 
 16 
 +3 
 +3 
 
 
 INT 
 3 
 −4 
 −4 
 WIS 
 10 
 +0 
 +0 
 CHA 
 6 
 −2 
 −2 
 
 
 
**Immunities** Prone 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** None 
**CR** 2 (XP 450; PB +2)
#### Traits
 
**_Aberrant Ground._** The ground in a 10-foot Emanation originating from the mouther is Difficult Terrain.
**_Gibbering._** The mouther babbles incoherently while it doesn't have the Incapacitated condition. _Wisdom Saving Throw:_ DC 10, any creature that starts its turn within 20 feet of the mouther while it is babbling. _Failure:_ The target rolls 1d8 to determine what it does during the current turn: 
 **1–4.** The target does nothing. 
 **5–6.** The target takes no action or Bonus Action and uses all its movement to move in a random direction. 
 **7–8.** The target makes a melee attack against a randomly determined creature within its reach or does nothing if it can't make such an attack.
#### Actions
 
**_Bite._** _Melee Attack Roll:_ +2, reach 5 ft. _Hit:_ 7 (2d6) Piercing damage. If the target is a Medium or smaller creature, it has the Prone condition. The target dies if it is reduced to 0 Hit Points by this attack. Its body is then absorbed into the mouther, leaving only equipment behind.
**_Blinding Spittle (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 10, each creature in a 10-foot-radius Sphere centered on a point within 30 feet. _Failure:_ 7 (2d6) Radiant damage, and the target has the Blinded condition until the end of the mouther's next turn.
## Glabrezu
### Glabrezu",,,medium,aberration,Chaotic Neutral,9,52,7d8 + 21,"20 ft., Swim 20 ft.",10,8,16,3,10,6,2,Darkvision 60 ft.; Passive Perception 10,None,
glabrezu,5.5e,SRD,Glabrezu,,"_Large Fiend (Demon), Chaotic Evil_
**AC** 17 **Initiative** +6 (16) 
**HP** 189 (18d10 + 90) 
**Speed** 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 20 
 +5 
 +9 
 DEX 
 15 
 +2 
 +2 
 CON 
 21 
 +5 
 +9 
 
 
 INT 
 19 
 +4 
 +4 
 WIS 
 17 
 +3 
 +7 
 CHA 
 16 
 +3 
 +7 
 
 
 
**Skills** Deception +7, Perception +7 
**Resistances** Cold, Fire, Lightning 
**Immunities** Poison; Poisoned 
**Senses** Truesight 120 ft.; Passive Perception 17 
**Languages** Abyssal; telepathy 120 ft. 
**CR** 9 (XP 5,000; PB +4)
#### Traits
 
**_Demonic Restoration._** If the glabrezu dies outside the Abyss, its body dissolves into ichor, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Abyss.
**_Magic Resistance._** The glabrezu has Advantage on saving throws against spells and other magical effects.
#### Actions
 
**_Multiattack._** The glabrezu makes two Pincer attacks and uses Pummel or Spellcasting.
**_Pincer._** _Melee Attack Roll:_ +9, reach 10 ft. _Hit:_ 16 (2d10 + 5) Slashing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 15) from one of two pincers.
**_Pummel._** _Dexterity Saving Throw:_ DC 17, one creature Grappled by the glabrezu. _Failure:_ 15 (3d6 + 5) Bludgeoning damage. _Success:_ Half damage.
**_Spellcasting._** The glabrezu casts one of the following spells, requiring no Material components and using Intelligence as the spellcasting ability (spell save DC 16): 
 **At Will:** _Darkness, Detect Magic, Dispel Magic_ 
 **1/Day Each:** _Confusion, Fly, Power Word Stun_
## Gladiator
### Gladiator",,,large,fiend (demon),Chaotic Evil,17,189,18d10 + 90,40 ft.,20,15,21,19,17,16,9,Truesight 120 ft.; Passive Perception 17,Abyssal; telepathy 120 ft.,"Deception +7, Perception +7"
gladiator,5.5e,SRD,Gladiator,,"_Medium or Small Humanoid, Neutral_
**AC** 16 **Initiative** +5 (15) 
**HP** 112 (15d8 + 45) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 18 
 +4 
 +7 
 DEX 
 15 
 +2 
 +5 
 CON 
 16 
 +3 
 +6 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 12 
 +1 
 +4 
 CHA 
 15 
 +2 
 +2 
 
 
 
**Skills** Athletics +10, Performance +5 
**Gear** Shield, Spears (3), Studded Leather Armor 
**Senses** Passive Perception 11 
**Languages** Common 
**CR** 5 (XP 1,800; PB +3)
#### Actions
 
**_Multiattack._** The gladiator makes three Spear attacks. It can replace one attack with a use of Shield Bash.
**_Spear._** _Melee or Ranged Attack Roll:_ +7, reach 5 ft. or range 20/60 ft. _Hit:_ 11 (2d6 + 4) Piercing damage.
**_Shield Bash._** _Strength Saving Throw:_ DC 15, one creature within 5 feet that the gladiator can see. _Failure:_ 9 (2d4 + 4) Bludgeoning damage. If the target is a Medium or smaller creature, it has the Prone condition.
#### Reactions
 
**_Parry._** _Trigger:_ The gladiator is hit by a melee attack roll while holding a weapon. _Response:_ The gladiator adds 3 to its AC against that attack, possibly causing it to miss.
## Gnoll
### Gnoll Warrior",,,medium,or small humanoid,Neutral,16,112,15d8 + 45,30 ft.,18,15,16,10,12,15,5,Passive Perception 11,Common,"Athletics +10, Performance +5"
gnoll-warrior,5.5e,SRD,Gnoll Warrior,,"_Medium Fiend, Chaotic Evil_
**AC** 15 **Initiative** +1 (11) 
**HP** 27 (6d8) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 14 
 +2 
 +2 
 DEX 
 12 
 +1 
 +1 
 CON 
 11 
 +0 
 +0 
 
 
 INT 
 6 
 −2 
 −2 
 WIS 
 10 
 +0 
 +0 
 CHA 
 7 
 −2 
 −2 
 
 
 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** Gnoll 
**CR** 1/2 (XP 100; PB +2)
#### Actions
 
**_Rend._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Piercing damage.
**_Bone Bow._** _Ranged Attack Roll:_ +3, range 150/600 ft. _Hit:_ 6 (1d10 + 1) Piercing damage.
#### Bonus Actions
 
**_Rampage (1/Day)._** Immediately after dealing damage to a creature that is already Bloodied, the gnoll moves up to half its Speed, and it makes one Rend attack.
## Goblins
### Goblin Minion",,,medium,fiend,Chaotic Evil,15,27,6d8,30 ft.,14,12,11,6,10,7,1/2,Darkvision 60 ft.; Passive Perception 10,Gnoll,
goblin-minion,5.5e,SRD,Goblin Minion,,"_Small Fey (Goblinoid), Chaotic Neutral_
**AC** 12 **Initiative** +2 (12) 
**HP** 7 (2d6) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 8 
 −1 
 −1 
 DEX 
 15 
 +2 
 +2 
 CON 
 10 
 +0 
 +0 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 8 
 −1 
 −1 
 CHA 
 8 
 −1 
 −1 
 
 
 
**Skills** Stealth +6 
**Gear** Daggers (3) 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** Common, Goblin 
**CR** 1/8 (XP 25; PB +2)
#### Actions
 
**_Dagger._** _Melee or Ranged Attack Roll:_ +4, reach 5 ft. or range 20/60 ft. _Hit:_ 4 (1d4 + 2) Piercing damage.
#### Bonus Actions
 
**_Nimble Escape._** The goblin takes the Disengage or Hide action.
### Goblin Warrior",,,small,fey (goblinoid),Chaotic Neutral,12,7,2d6,30 ft.,8,15,10,10,8,8,1/8,Darkvision 60 ft.; Passive Perception 9,"Common, Goblin",Stealth +6
goblin-warrior,5.5e,SRD,Goblin Warrior,,"_Small Fey (Goblinoid), Chaotic Neutral_
**AC** 15 **Initiative** +2 (12) 
**HP** 10 (3d6) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 8 
 −1 
 −1 
 DEX 
 15 
 +2 
 +2 
 CON 
 10 
 +0 
 +0 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 8 
 −1 
 −1 
 CHA 
 8 
 −1 
 −1 
 
 
 
**Skills** Stealth +6 
**Gear** Leather Armor, Scimitar, Shield, Shortbow 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** Common, Goblin 
**CR** 1/4 (XP 50; PB +2)
#### Actions
 
**_Scimitar._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Slashing damage, plus 2 (1d4) Slashing damage if the attack roll had Advantage.
**_Shortbow._** _Ranged Attack Roll:_ +4, range 80/320 ft. _Hit:_ 5 (1d6 + 2) Piercing damage, plus 2 (1d4) Piercing damage if the attack roll had Advantage.
#### Bonus Actions
 
**_Nimble Escape._** The goblin takes the Disengage or Hide action.
### Goblin Boss",,,small,fey (goblinoid),Chaotic Neutral,15,10,3d6,30 ft.,8,15,10,10,8,8,1/4,Darkvision 60 ft.; Passive Perception 9,"Common, Goblin",Stealth +6
goblin-boss,5.5e,SRD,Goblin Boss,,"_Small Fey (Goblinoid), Chaotic Neutral_
**AC** 17 **Initiative** +2 (12) 
**HP** 21 (6d6) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 10 
 +0 
 +0 
 DEX 
 15 
 +2 
 +2 
 CON 
 10 
 +0 
 +0 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 8 
 −1 
 −1 
 CHA 
 10 
 +0 
 +0 
 
 
 
**Skills** Stealth +6 
**Gear** Chain Shirt, Scimitar, Shield, Shortbow 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** Common, Goblin 
**CR** 1 (XP 200; PB +2)
#### Actions
 
**_Multiattack._** The goblin makes two attacks, using Scimitar or Shortbow in any combination.
**_Scimitar._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Slashing damage, plus 2 (1d4) Slashing damage if the attack roll had Advantage.
**_Shortbow._** _Ranged Attack Roll:_ +4, range 80/320 ft. _Hit:_ 5 (1d6 + 2) Piercing damage, plus 2 (1d4) Piercing damage if the attack roll had Advantage.
#### Bonus Actions
 
**_Nimble Escape._** The goblin takes the Disengage or Hide action.
#### Reactions
 
**_Redirect Attack._** _Trigger:_ A creature the goblin can see makes an attack roll against it. _Response:_ The goblin chooses a Small or Medium ally within 5 feet of itself. The goblin and that ally swap places, and the ally becomes the target of the attack instead.
## Gold Dragons
### Gold Dragon Wyrmling",,,small,fey (goblinoid),Chaotic Neutral,17,21,6d6,30 ft.,10,15,10,10,8,10,1,Darkvision 60 ft.; Passive Perception 9,"Common, Goblin",Stealth +6
gold-dragon-wyrmling,5.5e,SRD,Gold Dragon Wyrmling,,"_Medium Dragon (Metallic), Lawful Good_
**AC** 17 **Initiative** +4 (14) 
**HP** 60 (8d8 + 24) 
**Speed** 30 ft., Fly 60 ft., Swim 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 19 
 +4 
 +4 
 DEX 
 14 
 +2 
 +4 
 CON 
 17 
 +3 
 +3 
 
 
 INT 
 14 
 +2 
 +2 
 WIS 
 11 
 +0 
 +2 
 CHA 
 16 
 +3 
 +3 
 
 
 
**Skills** Perception +4, Stealth +4 
**Immunities** Fire 
**Senses** Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14 
**Languages** Draconic 
**CR** 3 (700 XP; PB +2)
#### Traits
 
**_Amphibious._** The dragon can breathe air and water.
#### Actions
 
**_Multiattack._** The dragon makes two Rend attacks.
**_Rend._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 9 (1d10 + 4) Slashing damage.
**_Fire Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 13, each creature in a 15-foot Cone. _Failure:_ 22 (4d10) Fire damage. _Success:_ Half damage.
**_Weakening Breath._** _Strength Saving Throw:_ DC 13, each creature that isn't currently affected by this breath in a 15-foot Cone. _Failure:_ The target has Disadvantage on Strength-based D20 Tests and subtracts 2 (1d4) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
### Young Gold Dragon",,,medium,dragon (metallic),Lawful Good,17,60,8d8 + 24,"30 ft., Fly 60 ft., Swim 30 ft.",19,14,17,14,11,16,3,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Perception +4, Stealth +4"
young-gold-dragon,5.5e,SRD,Young Gold Dragon,,"_Large Dragon (Metallic), Lawful Good_
**AC** 18 **Initiative** +6 (16) 
**HP** 178 (17d10 + 85) 
**Speed** 40 ft., Fly 80 ft., Swim 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 23 
 +6 
 +6 
 DEX 
 14 
 +2 
 +6 
 CON 
 21 
 +5 
 +5 
 
 
 INT 
 16 
 +3 
 +3 
 WIS 
 13 
 +1 
 +5 
 CHA 
 20 
 +5 
 +5 
 
 
 
**Skills** Insight +5, Perception +9, Persuasion +9, Stealth +6 
**Immunities** Fire 
**Senses** Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 19 
**Languages** Common, Draconic 
**CR** 10 (XP 5,900; PB +4)
#### Traits
 
**_Amphibious._** The dragon can breathe air and water.
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of Weakening Breath.
**_Rend._** _Melee Attack Roll:_ +10, reach 10 ft. _Hit:_ 17 (2d10 + 6) Slashing damage.
**_Fire Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 17, each creature in a 30-foot Cone. _Failure:_ 55 (10d10) Fire damage. _Success:_ Half damage.
**_Weakening Breath._** _Strength Saving Throw:_ DC 17, each creature that isn't currently affected by this breath in a 30-foot Cone. _Failure:_ The target has Disadvantage on Strength-based D20 Tests and subtracts 3 (1d6) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
### Adult Gold Dragon",,,large,dragon (metallic),Lawful Good,18,178,17d10 + 85,"40 ft., Fly 80 ft., Swim 40 ft.",23,14,21,16,13,20,10,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 19","Common, Draconic","Insight +5, Perception +9, Persuasion +9, Stealth +6"
adult-gold-dragon,5.5e,SRD,Adult Gold Dragon,,"_Huge Dragon (Metallic), Lawful Good_
**AC** 19 **Initiative** +14 (24) 
**HP** 243 (18d12 + 126) 
**Speed** 40 ft., Fly 80 ft., Swim 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 27 
 +8 
 +8 
 DEX 
 14 
 +2 
 +8 
 CON 
 25 
 +7 
 +7 
 
 
 INT 
 16 
 +3 
 +3 
 WIS 
 15 
 +2 
 +8 
 CHA 
 24 
 +7 
 +7 
 
 
 
**Skills** Insight +8, Perception +14, Persuasion +13, Stealth +8 
**Immunities** Fire 
**Senses** Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 24 
**Languages** Common, Draconic 
**CR** 17 (XP 18,000, or 20,000 in lair; PB +6)
#### Traits
 
**_Amphibious._** The dragon can breathe air and water.
**_Legendary Resistance (3/Day, or 4/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Spellcasting to cast _Guiding Bolt_ (level 2 version) or (B) Weakening Breath.
**_Rend._** _Melee Attack Roll:_ +14, reach 10 ft. _Hit:_ 17 (2d8 + 8) Slashing damage plus 4 (1d8) Fire damage.
**_Fire Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 21, each creature in a 60-foot Cone. _Failure:_ 66 (12d10) Fire damage. _Success:_ Half damage.
**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 21, +13 to hit with spell attacks): 
 **At Will:** _Detect Magic_, _Guiding Bolt_ (level 2 version), _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell) 
 **1/Day Each:** _Flame Strike_, _Zone of Truth_
**_Weakening Breath._** _Strength Saving Throw:_ DC 21, each creature that isn't currently affected by this breath in a 60-foot Cone. _Failure:_ The target has Disadvantage on Strength-based D20 Tests and subtracts 3 (1d6) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
#### Legendary Actions
 
_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._
**_Banish._** _Charisma Saving Throw:_ DC 21, one creature the dragon can see within 120 feet. _Failure:_ 10 (3d6) Force damage, and the target has the Incapacitated condition and is transported to a harmless demiplane until the start of the dragon's next turn, at which point it reappears in an unoccupied space of the dragon's choice within 120 feet of the dragon. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.
**_Guiding Light._** The dragon uses Spellcasting to cast _Guiding Bolt_ (level 2 version).
**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.
### Ancient Gold Dragon",,,huge,dragon (metallic),Lawful Good,19,243,18d12 + 126,"40 ft., Fly 80 ft., Swim 40 ft.",27,14,25,16,15,24,17,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 24","Common, Draconic","Insight +8, Perception +14, Persuasion +13, Stealth +8"
ancient-gold-dragon,5.5e,SRD,Ancient Gold Dragon,,"_Gargantuan Dragon (Metallic), Lawful Good_
**AC** 22 **Initiative** +16 (26) 
**HP** 546 (28d20 + 252) 
**Speed** 40 ft., Fly 80 ft., Swim 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 30 
 +10 
 +10 
 DEX 
 14 
 +2 
 +9 
 CON 
 29 
 +9 
 +9 
 
 
 INT 
 18 
 +4 
 +4 
 WIS 
 17 
 +3 
 +10 
 CHA 
 28 
 +9 
 +9 
 
 
 
**Skills** Insight +10, Perception +17, Persuasion +16, Stealth +9 
**Immunities** Fire 
**Senses** Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 27 
**Languages** Common, Draconic 
**CR** 24 (XP 62,000, or 75,000 in lair; PB +7)
#### Traits
 
**_Amphibious._** The dragon can breathe air and water.
**_Legendary Resistance (4/Day, or 5/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Spellcasting to cast _Guiding Bolt_ (level 4 version) or (B) Weakening Breath.
**_Rend._** _Melee Attack Roll:_ +17 to hit, reach 15 ft. _Hit:_ 19 (2d8 + 10) Slashing damage plus 9 (2d8) Fire damage.
**_Fire Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 24, each creature in a 90-foot Cone. _Failure:_ 71 (13d10) Fire damage. _Success:_ Half damage.
**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 24, +16 to hit with spell attacks): 
 **At Will:** _Detect Magic_, _Guiding Bolt_ (level 4 version), _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell) 
 **1/Day Each:** _Flame Strike_ (level 6 version), _Word of Recall_, _Zone of Truth_
**_Weakening Breath._** _Strength Saving Throw:_ DC 24, each creature that isn't currently affected by this breath in a 90-foot Cone. _Failure:_ The target has Disadvantage on Strength-based D20 Tests and subtracts 5 (1d10) from its damage rolls. It repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
#### Legendary Actions
 
_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._
**_Banish._** _Charisma Saving Throw:_ DC 24, one creature the dragon can see within 120 feet. _Failure:_ 24 (7d6) Force damage, and the target has the Incapacitated condition and is transported to a harmless demiplane until the start of the dragon's next turn, at which point it reappears in an unoccupied space of the dragon's choice within 120 feet of the dragon. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.
**_Guiding Light._** The dragon uses Spellcasting to cast _Guiding Bolt_ (level 4 version).
**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.
## Gorgon
### Gorgon",,,gargantuan,dragon (metallic),Lawful Good,22,546,28d20 + 252,"40 ft., Fly 80 ft., Swim 40 ft.",30,14,29,18,17,28,24,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 27","Common, Draconic","Insight +10, Perception +17, Persuasion +16, Stealth +9"
gorgon,5.5e,SRD,Gorgon,,"_Large Construct, Unaligned_
**AC** 19 **Initiative** +0 (10) 
**HP** 114 (12d10 + 48) 
**Speed** 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 20 
 +5 
 +5 
 DEX 
 11 
 +0 
 +0 
 CON 
 18 
 +4 
 +4 
 
 
 INT 
 2 
 −4 
 −4 
 WIS 
 12 
 +1 
 +1 
 CHA 
 7 
 −2 
 −2 
 
 
 
**Skills** Perception +7 
**Immunities** Exhaustion, Petrified 
**Senses** Darkvision 60 ft.; Passive Perception 17 
**Languages** None 
**CR** 5 (XP 1,800; PB +3)
#### Actions
 
**_Gore._** _Melee Attack Roll:_ +8, reach 5 ft. _Hit:_ 18 (2d12 + 5) Piercing damage. If the target is a Large or smaller creature and the gorgon moved 20+ feet straight toward it immediately before the hit, the target has the Prone condition.
**_Petrifying Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 15, each creature in a 30-foot Cone. _First Failure:_ The target has the Restrained condition and repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. _Second Failure:_ The target has the Petrified condition instead of the Restrained condition.
#### Bonus Actions
 
**_Trample._** _Dexterity Saving Throw:_ DC 16, one creature within 5 feet that has the Prone condition. _Failure:_ 16 (2d10 + 5) Bludgeoning damage. _Success:_ Half damage.
## Gray Ooze
### Gray Ooze",,,large,construct,Unaligned,19,114,12d10 + 48,40 ft.,20,11,18,2,12,7,5,Darkvision 60 ft.; Passive Perception 17,None,Perception +7
gray-ooze,5.5e,SRD,Gray Ooze,,"_Medium Ooze, Unaligned_
**AC** 9 **Initiative** −2 (13) 
**HP** 22 (3d8 + 9) 
**Speed** 10 ft., Climb 10 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 12 
 +1 
 +1 
 DEX 
 6 
 −2 
 −2 
 CON 
 16 
 +3 
 +3 
 
 
 INT 
 1 
 −5 
 −5 
 WIS 
 6 
 −2 
 −2 
 CHA 
 2 
 −4 
 −4 
 
 
 
**Skills** Stealth +2 
**Resistances** Acid, Cold, Fire 
**Immunities** Blinded, Charmed, Deafened, Exhaustion, Frightened, Grappled, Prone, Restrained 
**Senses** Blindsight 60 ft.; Passive Perception 8 
**Languages** None 
**CR** 1/2 (XP 100; PB +2)
#### Traits
 
**_Amorphous._** The ooze can move through a space as narrow as 1 inch without expending extra movement to do so.
**_Corrosive Form._** Nonmagical ammunition is destroyed immediately after hitting the ooze and dealing any damage. Any nonmagical weapon takes a cumulative −1 penalty to attack rolls immediately after dealing damage to the ooze and coming into contact with it. The weapon is destroyed if the penalty reaches −5. The penalty can be removed by casting the _Mending_ spell on the weapon. 
 The ooze can eat through 2-inch-thick, nonmagical metal or wood in 1 round.
#### Actions
 
**_Pseudopod._** _Melee Attack Roll:_ +3, reach 5 ft. _Hit:_ 10 (2d8 + 1) Acid damage. Nonmagical armor worn by the target takes a −1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10. The penalty can be removed by casting the _Mending_ spell on the armor.
## Green Dragons
### Green Dragon Wyrmling",,,medium,ooze,Unaligned,9,22,3d8 + 9,"10 ft., Climb 10 ft.",12,6,16,1,6,2,1/2,Blindsight 60 ft.; Passive Perception 8,None,Stealth +2
