#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-f9e9-7ad8-b3a8-4511aa623e30
#content-updated_at: 2026-07-21
#content-hash: xxh64:ce1171d84f111c48
id,name_en,name_uk,text_en,text_uk,effects,class_id,level,resource,subclass_id
college_of_lore_cutting_words,Cutting Words,,"You learn to use your wit to supernaturally distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of yourself makes a damage roll or succeeds on an ability check or attack roll, you can take a Reaction to expend one use of your Bardic Inspiration; roll your Bardic Inspiration die, and subtract the number rolled from the creature's roll, reducing the damage or potentially turning the success into a failure.",,,bard,3,,college_of_lore
college_of_lore_magical_discoveries,Magical Discoveries,,"You learn two spells of your choice. These spells can come from the Cleric, Druid, or Wizard spell list or any combination thereof (see a class's section for its spell list). A spell you choose must be a cantrip or a spell for which you have spell slots, as shown in the Bard Features table.
You always have the chosen spells prepared, and whenever you gain a Bard level, you can replace one of the spells with another spell that meets these requirements.",,,bard,6,,college_of_lore
college_of_lore_peerless_skill,Peerless Skill,,"When you make an ability check or attack roll and fail, you can expend one use of Bardic Inspiration; roll the Bardic Inspiration die, and add the number rolled to the d20, potentially turning a failure into a success. On a failure, the Bardic Inspiration isn't expended.",,,bard,14,,college_of_lore
cleric_spellcasting,Spellcasting,,"You have learned to cast spells through prayer and meditation. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Cleric spells, which appear on the Cleric spell list later in the class's description.
_Cantrips._ You know three cantrips of your choice from the Cleric spell list. _Guidance_, _Sacred Flame_, and _Thaumaturgy_ are recommended.
Whenever you gain a Cleric level, you can replace one of your cantrips with another cantrip of your choice from the Cleric spell list.
When you reach Cleric levels 4 and 10, you learn another cantrip of your choice from the Cleric spell list, as shown in the Cantrips column of the Cleric Features table.
_Spell Slots._ The Cleric Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Cleric spell list. _Bless_, _Cure Wounds_, _Guiding Bolt_, and _Shield of Faith_ are recommended.
The number of spells on your list increases as you gain Cleric levels, as shown in the Prepared Spells column of the Cleric Features table. Whenever that number increases, choose additional spells from the Cleric spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Cleric, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Cleric feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Cleric spells for you.
_Changing Your Prepared Spells._ Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells there with other Cleric spells for which you have spell slots.
_Spellcasting Ability._ Wisdom is your spellcasting ability for your Cleric spells.
_Spellcasting Focus._ You can use a Holy Symbol as a Spellcasting Focus for your Cleric spells.",,,cleric,1,,
cleric_divine_order,Divine Order,,"You have dedicated yourself to one of the following sacred roles of your choice.
_Protector._ Trained for battle, you gain proficiency with Martial weapons and training with Heavy armor.
_Thaumaturge._ You know one extra cantrip from the Cleric spell list. In addition, your mystical connection to the divine gives you a bonus to your Intelligence (Arcana or Religion) checks. The bonus equals your Wisdom modifier (minimum of +1).",,,cleric,1,,
cleric_channel_divinity,Channel Divinity,,"You can channel divine energy directly from the Outer Planes to fuel magical effects. You start with two such effects: Divine Spark and Turn Undead, each of which is described below. Each time you use this class's Channel Divinity, choose which Channel Divinity effect from this class to create. You gain additional effect options at higher Cleric levels.
You can use this class's Channel Divinity twice. You regain one of its expended uses when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest. You gain additional uses when you reach certain Cleric levels, as shown in the Channel Divinity column of the Cleric Features table.
If a Channel Divinity effect requires a saving throw, the DC equals the spell save DC from this class's Spellcasting feature.
_Divine Spark._ As a Magic action, you point your Holy Symbol at another creature you can see within 30 feet of yourself and focus divine energy at it. Roll 1d8 and add your Wisdom modifier. You either restore Hit Points to the creature equal to that total or force the creature to make a Constitution saving throw. On a failed save, the creature takes Necrotic or Radiant damage (your choice) equal to that total. On a successful save, the creature takes half as much damage (round down).
You roll an additional d8 when you reach Cleric levels 7 (2d8), 13 (3d8), and 18 (4d8).
_Turn Undead._ As a Magic action, you present your Holy Symbol and censure Undead creatures. Each Undead of your choice within 30 feet of you must make a Wisdom saving throw. If the creature fails its save, it has the Frightened and Incapacitated conditions for 1 minute. For that duration, it tries to move as far from you as it can on its turns. This effect ends early on the creature if it takes any damage, if you have the Incapacitated condition, or if you die.",,,cleric,2,,
cleric_cleric_subclass,Cleric Subclass,,"You gain a Cleric subclass of your choice. The Life Domain subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Cleric levels. For the rest of your career, you gain each of your subclass's features that are of your Cleric level or lower.",,,cleric,3,,
cleric_ability_score_improvement,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Cleric levels 8, 12, and 16.",,,cleric,4,,
cleric_sear_undead,Sear Undead,,"Whenever you use Turn Undead, you can roll a number of d8s equal to your Wisdom modifier (minimum of 1d8) and add the rolls together. Each Undead that fails its saving throw against that use of Turn Undead takes Radiant damage equal to the roll's total. This damage doesn't end the turn effect.",,,cleric,5,,
cleric_blessed_strikes,Blessed Strikes,,"Divine power infuses you in battle. You gain one of the following options of your choice (if you get either option from a Cleric subclass in an older book, use only the option you choose for this feature).
_Divine Strike._ Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra 1d8 Necrotic or Radiant damage (your choice).
_Potent Spellcasting._ Add your Wisdom modifier to the damage you deal with any Cleric cantrip.",,,cleric,7,,
cleric_divine_intervention,Divine Intervention,,"You can call on your deity or pantheon to intervene on your behalf. As a Magic action, choose any Cleric spell of level 5 or lower that doesn't require a Reaction to cast. As part of the same action, you cast that spell without expending a spell slot or needing Material components. You can't use this feature again until you finish a Long Rest.",,,cleric,10,,
cleric_improved_blessed_strikes,Improved Blessed Strikes,,"The option you chose for Blessed Strikes grows more powerful.
_Divine Strike._ The extra damage of your Divine Strike increases to 2d8.
_Potent Spellcasting._ When you cast a Cleric cantrip and deal damage to a creature with it, you can give vitality to yourself or another creature within 60 feet of yourself, granting a number of Temporary Hit Points equal to twice your Wisdom modifier.",,,cleric,14,,
cleric_epic_boon,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Fate is recommended.",,,cleric,19,,
cleric_greater_divine_intervention,Greater Divine Intervention,,"You can call on even more powerful divine intervention. When you use your Divine Intervention feature, you can choose _Wish_ when you select a spell. If you do so, you can't use Divine Intervention again until you finish 2d4 Long Rests.",,,cleric,20,,
life_domain_disciple_of_life,Disciple of Life,,"When a spell you cast with a spell slot restores Hit Points to a creature, that creature regains additional Hit Points on the turn you cast the spell. The additional Hit Points equal 2 plus the spell slot's level.",,,cleric,3,,life_domain
life_domain_life_domain_spells,Life Domain Spells,,"Your connection to this divine domain ensures you always have certain spells ready. When you reach a Cleric level specified in the Life Domain Spells table, you thereafter always have the listed spells prepared.
**Life Domain Spells**
<table>
<thead>
<tr>
<th>Cleric Level</th>
<th>Prepared Spells</th>
</tr>
</thead>
<tbody>
<tr>
<td>3</td>
<td>Aid, Bless, Cure Wounds, Lesser Restoration</td>
</tr>
<tr>
<td>5</td>
<td>Mass Healing Word, Revivify</td>
</tr>
<tr>
<td>7</td>
<td>Aura of Life, Death Ward</td>
</tr>
<tr>
<td>9</td>
<td>Greater Restoration, Mass Cure Wounds</td>
</tr>
</tbody>
</table>",,,cleric,3,,life_domain
life_domain_preserve_life,Preserve Life,,"As a Magic action, you present your Holy Symbol and expend a use of your Channel Divinity to evoke healing energy that can restore a number of Hit Points equal to five times your Cleric level. Choose Bloodied creatures within 30 feet of yourself (which can include you), and divide those Hit Points among them. This feature can restore a creature to no more than half its Hit Point maximum.",,,cleric,3,,life_domain
life_domain_blessed_healer,Blessed Healer,,"The healing spells you cast on others heal you as well. Immediately after you cast a spell with a spell slot that restores Hit Points to one or more creatures other than yourself, you regain Hit Points equal to 2 plus the spell slot's level.",,,cleric,6,,life_domain
life_domain_supreme_healing,Supreme Healing,,"When you would normally roll one or more dice to restore Hit Points to a creature with a spell or Channel Divinity, don't roll those dice for the healing; instead use the highest number possible for each die. For example, instead of restoring 2d6 Hit Points to a creature with a spell, you restore 12.",,,cleric,17,,life_domain
druid_spellcasting,Spellcasting,,"You have learned to cast spells through studying the mystical forces of nature. See ""Spells"" for the rules on spellcasting. The information below details how you use those rules with Druid spells, which appear on the Druid spell list later in the class's description.
_Cantrips._ You know two cantrips of your choice from the Druid spell list. _Druidcraft_ and _Produce Flame_ are recommended.
Whenever you gain a Druid level, you can replace one of your cantrips with another cantrip of your choice from the Druid spell list.
When you reach Druid levels 4 and 10, you learn another cantrip of your choice from the Druid spell list, as shown in the Cantrips column of the Druid Features table.
_Spell Slots._ The Druid Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a Long Rest.
_Prepared Spells of Level 1+._ You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose four level 1 spells from the Druid spell list. _Animal Friendship, Cure Wounds, Faerie Fire,_ and _Thunderwave_ are recommended.
The number of spells on your list increases as you gain Druid levels, as shown in the Prepared Spells column of the Druid Features table. Whenever that number increases, choose additional spells from the Druid spell list until the number of spells on your list matches the number on the table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Druid, your list of prepared spells can include six spells of levels 1 and 2 in any combination.
If another Druid feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Druid spells for you.
_Changing Your Prepared Spells._ Whenever you finish a Long Rest, you can change your list of prepared spells, replacing any of the spells with other Druid spells for which you have spell slots.
_Spellcasting Ability._ Wisdom is your spellcasting ability for your Druid spells.
_Spellcasting Focus._ You can use a Druidic Focus as a Spellcasting Focus for your Druid spells.",,,druid,1,,
druid_druidic,Druidic,,"You know Druidic, the secret language of Druids. While learning this ancient tongue, you also unlocked the magic of communicating with animals; you always have the _Speak with Animals_ spell prepared.
You can use Druidic to leave hidden messages. You and others who know Druidic automatically spot such a message. Others spot the message's presence with a successful DC 15 Intelligence (Investigation) check but can't decipher it without magic.",,,druid,1,,
druid_primal_order,Primal Order,,"You have dedicated yourself to one of the following sacred roles of your choice.
_Magician._ You know one extra cantrip from the Druid spell list. In addition, your mystical connection to nature gives you a bonus to your Intelligence (Arcana or Nature) checks. The bonus equals your Wisdom modifier (minimum bonus of +1).
_Warden._ Trained for battle, you gain proficiency with Martial weapons and training with Medium armor.",,,druid,1,,
druid_wild_shape,Wild Shape,,"The power of nature allows you to assume the form of an animal. As a Bonus Action, you shape-shift into a Beast form that you have learned for this feature (see ""Known Forms"" below). You stay in that form for a number of hours equal to half your Druid level or until you use Wild Shape again, have the Incapacitated condition, or die. You can also leave the form early as a Bonus Action.
_Number of Uses._ You can use Wild Shape twice. You regain one expended use when you finish a Short Rest, and you regain all expended uses when you finish a Long Rest.
You gain additional uses when you reach certain Druid levels, as shown in the Wild Shape column of the Druid Features table.
_Known Forms._ You know four Beast forms for this feature, chosen from among Beast stat blocks that have a maximum Challenge Rating of 1/4 and that lack a Fly Speed (see ""Animals"" in ""Monsters"" for stat block options). The **Rat**, **Riding Horse**, **Spider**, and **Wolf** are recommended. Whenever you finish a Long Rest, you can replace one of your known forms with another eligible form.
When you reach certain Druid levels, your number of known forms and the maximum Challenge Rating for those forms increases, as shown in the Beast Shapes table. In addition, starting at level 8, you can adopt a form that has a Fly Speed.
When choosing known forms, you may look in other sources for eligible Beasts if the Game Master permits you to do so.
**Beast Shapes**
<table>
<thead>
<tr>
<th>Druid Level</th>
<th>Known Forms</th>
<th>Max CR</th>
<th>Fly Speed</th>
</tr>
</thead>
<tbody>
<tr>
<td>2</td>
<td>4</td>
<td>1/4</td>
<td>No</td>
</tr>
<tr>
<td>4</td>
<td>6</td>
<td>1/2</td>
<td>No</td>
</tr>
<tr>
<td>8</td>
<td>8</td>
<td>1</td>
<td>Yes</td>
</tr>
</tbody>
</table>
**Rules While Shape-Shifted.** While in a form, you retain your personality, memories, and ability to speak, and the following rules apply:
**Temporary Hit Points.** When you assume a Wild Shape form, you gain a number of Temporary Hit Points equal to your Druid level.
**Game Statistics.** Your game statistics are replaced by the Beast's stat block, but you retain your creature type; Hit Points; Hit Point Dice; Intelligence, Wisdom, and Charisma scores; class features; languages; and feats. You also retain your skill and saving throw proficiencies and use your Proficiency Bonus for them, in addition to gaining the proficiencies of the creature. If a skill or saving throw modifier in the Beast's stat block is higher than yours, use the one in the stat block.
**No Spellcasting.** You can't cast spells, but shapeshifting doesn't break your Concentration or otherwise interfere with a spell you've already cast.
**Objects.** Your ability to handle objects is determined by the form's limbs rather than your own. In addition, you choose whether your equipment falls in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the GM decides whether it's practical for the new form to wear a piece of equipment based on the creature's size and shape. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with the form. Equipment that merges with the form has no effect while you're in that form.",,,druid,2,,
druid_wild_companion,Wild Companion,,"You can summon a nature spirit that assumes an animal form to aid you. As a Magic action, you can expend a spell slot or a use of Wild Shape to cast the _Find Familiar_ spell without Material components.
When you cast the spell in this way, the familiar is Fey and disappears when you finish a Long Rest.",,,druid,2,,
druid_druid_subclass,Druid Subclass,,"You gain a Druid subclass of your choice. The Circle of the Land subclass is detailed after this class's description. A subclass is a specialization that grants you features at certain Druid levels. For the rest of your career, you gain each of your subclass's features that are of your Druid level or lower.",,,druid,3,,
druid_ability_score_improvement,Ability Score Improvement,,"You gain the Ability Score Improvement feat (see ""Feats"") or another feat of your choice for which you qualify. You gain this feature again at Druid levels 8, 12, and 16.",,,druid,4,,
druid_wild_resurgence,Wild Resurgence,,"Once on each of your turns, if you have no uses of Wild Shape left, you can give yourself one use by expending a spell slot (no action required).
In addition, you can expend one use of Wild Shape (no action required) to give yourself a level 1 spell slot, but you can't do so again until you finish a Long Rest.",,,druid,5,,
druid_elemental_fury,Elemental Fury,,"The might of the elements flows through you. You gain one of the following options of your choice.
_Potent Spellcasting._ Add your Wisdom modifier to the damage you deal with any Druid cantrip.
_Primal Strike._ Once on each of your turns when you hit a creature with an attack roll using a weapon or a Beast form's attack in Wild Shape, you can cause the target to take an extra 1d8 Cold, Fire, Lightning, or Thunder damage (choose when you hit).",,,druid,7,,
druid_improved_elemental_fury,Improved Elemental Fury,,"The option you chose for Elemental Fury grows more powerful, as detailed below.
_Potent Spellcasting._ When you cast a Druid cantrip with a range of 10 feet or greater, the spell's range increases by 300 feet.
_Primal Strike._ The extra damage of your Primal Strike increases to 2d8.",,,druid,15,,
druid_beast_spells,Beast Spells,,"While using Wild Shape, you can cast spells in Beast form, except for any spell that has a Material component with a cost specified or that consumes its Material component.",,,druid,18,,
druid_epic_boon,Epic Boon,,"You gain an Epic Boon feat (see ""Feats"") or another feat of your choice for which you qualify. Boon of Dimensional Travel is recommended.",,,druid,19,,
